연번,자치구,도서관명,개방시간,종료시간,주말 이용시간,도로명주소,경도,위도,휴관일
50,구로구,개봉도서관,09:00,22:00,09:00~22:00,서울특별시 구로구 개봉로16길 30-11,126.8579722,37.48952806,매주 화요일 및 법정 공휴일
51,구로구,구로기적의도서관,10:00,20:00,10:00~17:00,서울특별시 구로구 구로중앙로40길 24(신도림동),126.8773759,37.50673513,매주 월요일 및 법정 공휴일
52,구로구,구로꿈나무도서관,10:00,19:00,10:00~17:00,"서울특별시 구로구 구로동로26길 54, 2층 (구로구시설관리공단)",126.8865649,37.48989397,매주 화요일 및 법정 공휴일
53,구로구,구로구립온누리도서관 (전 구로초구로구립주민전용도서관),09:00,22:00,09:00~22:00,"서울특별시 구로구 구로중앙로27나길 9, 4층 (구로초등학교 온누리관)",126.8860018,37.49726168,매주 화요일 및 법정 공휴일
54,구로구,궁동어린이도서관,10:00,19:00,10:00~17:00,서울특별시 구로구 오리로 1352,126.8292615,37.50221136,매주 화요일 및 법정 공휴일
55,구로구,글마루한옥어린이도서관,10:00,19:00,10:00~17:00,서울특별시 구로구 고척로27바길 7,126.845637,37.5069156,매주 화요일 및 법정 공휴일
56,구로구,꿈마을도서관,09:00,22:00,09:00~22:00,서울특별시 구로구 디지털로27다길 65,126.8901547,37.48714316,매주 월요일 및 법정 공휴일
57,구로구,하늘도서관,09:00,20:00,09:00~17:00,서울특별시 구로구 구로동로13길 68,126.8813503,37.48737738,매주 화요일 및 법정 공휴일
58,구로구,항동 푸른도서관,09:00,21:00,09:00~17:00,서울 구로구 연동로 290-45,126.8247141,37.4847562,매주 월요일 및 법정 공휴일
59,구로구,고척열린도서관,09:00,22:00,09:00~17:00,서울 구로구 경인로43길 49,126.8575901,37.49913188,매주 월요일 및 법정 공휴일
60,금천구,금천구립가산도서관,07:00,22:00,07:00~22:00,서울특별시 금천구 가산로5길 43,126.8921298,37.47349155,"매월 두번째, 네번째 월요일 및 법정 공휴일"
61,금천구,금천구립금나래도서관,09:00,22:00,09:00~22:00,서울특별시 금천구 시흥대로73길 70,126.8960369,37.45706565,매월 마지막주 일요일 및 법정 공휴일
62,금천구,금천구립독산도서관,07:00,22:00,07:00~22:00,서울특별시 금천구 독산로54길 114,126.9081059,37.46758019,"매월 첫번째,세번째 월요일 및 법정 공휴일"
63,금천구,금천구립시흥도서관,07:00,22:00,07:00~22:00,서울특별시 금천구 금하로 764(시흥동) 금천종합복지타운(시흥2동주민센터),126.9146119,37.44963195,"매월 첫번째,세번째 금요일 및 법정 공휴일"
64,노원구,화랑도서관,09:00,22:00,09:00~18:00,서울특별시 노원구 노원로1나길 10,127.0830491,37.62151981,"매주 월요일, 법정공휴일"
65,노원구,하계어린이도서관,09:00,18:00,09:00~17:00,서울특별시 노원구 공릉로62길 18,127.0724241,37.63610414,"매주 일요일, 법정공휴일"
66,노원구,노원어린이도서관,09:00,18:00,09:00~17:00,서울특별시 노원구 한글비석로 346,127.0763791,37.65794941,"매달 둘째, 넷째 월요일 및 법정공휴일"
67,노원구,노원중앙도서관,09:00,20:00,09:00~17:00,서울특별시 노원구 노원로34길 43,127.0650096,37.66109975,"매월 첫째,셋째 월요일 및 법정 공휴일"
68,노원구,불암도서관,09:00,20:00,09:00~17:00,서울특별시 노원구 중계로 106,127.0825447,37.64529213,"매월 첫째,셋째 월요일 및 법정 공휴일"
69,노원구,상계도서관,09:00,20:00,09:00~17:00,서울특별시 노원구 동일로243길 57,127.0519412,37.67852848,"매달 둘째, 넷째 월요일 및 법정공휴일"
70,노원구,월계어린이도서관,09:00,18:00,09:00~17:00,서울특별시 노원구 월계로42길 9,127.0507921,37.62426476,매주 일요일 및 법정공휴일
71,도봉구,도봉기적의도서관,09:00,20:00,09:00~17:00,서울특별시 도봉구 마들로 797,127.0501327,37.68080297,매주화요일및법정공휴일
72,도봉구,도봉문화정보도서관,09:00,22:00,09:00~17:00,서울특별시 도봉구 덕릉로 315,127.0437683,37.64469094,매주화요일및법정공휴일
73,도봉구,도봉아이나라도서관,09:00,20:00,09:00~17:00,서울특별시 도봉구 노해로 69길 151,127.049507,37.65904682,매주화요일및법정공휴일
74,도봉구,둘리도서관,10:00,17:30,10:00~17:30,서울특별시 도봉구 시루봉로1길 6,127.0276385,37.65242986,매주월요일및법정공휴일
75,도봉구,학마을도서관,09:00,22:00,09:00~17:00,서울특별시 도봉구 시루봉로 128,127.0278315,37.66215979,매주월요일및법정공휴일
76,도봉구,쌍문채움도서관,09:00,20:00,09:00~17:00,서울특별시 도봉구 우이천로 340,127.0262302,37.64704212,매주월요일및법정공휴일
77,도봉구,김근태기념도서관 ,09:00,20:00,09:00~17:00,서울특별시 도봉구 도봉산길 14,127.0440199,37.68766744,매주월요일및법정공휴일
78,도봉구,원당마을한옥도서관,09:00,20:00, 09:00~18:00),서울특별시 도봉구 해등로32가길 17,127.0217983,37.66029179,매주화요일및법정공휴일
79,동대문구,동대문구답십리도서관,09:00,22:00,09:00~18:00,서울특별시 동대문구 서울시립대로4길 75,127.0503603,37.573193,매주 금요일 및 법정 공휴일(일요일 제외)
80,동대문구,동대문구정보화도서관,09:00,22:00,09:00~18:00,서울특별시 동대문구 회기로10길 60,127.0472897,37.58996951,매주 월요일 및 법정 공휴일(일요일 제외)
81,동대문구,휘경어린이도서관,09:00,18:00,09:00~18:00,서울특별시 동대문구 망우로18가길 38,127.0606078,37.58868383,"매주 월요일, 법정 공휴일"
82,동대문구,배봉산 숲속도서관,09:00,22:00,09:00~18:00,서울특별시 동대문구 전농로16길 97,127.0627351,37.57844311,매주 월요일 및 법정 공휴일(일요일 제외)
83,동대문구,동대문책마당도서관,09:00,18:00,,서울특별시 동대문구 천호대로 145,127.0398966,37.57439172,법정공휴일
