순번,쉼터명칭,도로명주소,지번주소,시설유형,이용가능인원,운영시작일,개방시간,종료시간,경도,위도,연도,X좌표,Y좌표,자치구
1100,반포4동 주민센터,서울특별시 서초구 사평대로28길 70,서울특별시 서초구 반포동 74-7,주민센터,150,2023-11-15,09:00:00,18:00:00,127.000325,37.497479,2024,200028.7392,544224.3253,서초구
1101,반포4동 경로당,서울특별시 서초구 사평대로26길 9-14,서울특별시 서초구 반포동 535-12,노인시설,30,2023-11-15,09:00:00,18:00:00,126.9994468,37.4996185,2024,199951.0828,544461.7821,서초구
1102,방배본동 주민센터,서울특별시 서초구 동광로19길 38,서울특별시 서초구 방배동 774-9,주민센터,10,2023-11-15,09:00:00,18:00:00,126.9888459,37.4941484,2024,199013.6168,543854.7305,서초구
1103,기녕당 경로당,서울특별시 서초구 방배중앙로 159-6,서울특별시 서초구 방배동 778-16,노인시설,10,2023-11-15,09:00:00,18:00:00,126.9859489,37.4933381,2024,198757.4149,543764.8321,서초구
1104,방배1동 주민센터,서울특별시 서초구 효령로29길 43,서울특별시 서초구 방배동 922-18,주민센터,150,2023-11-15,09:00:00,18:00:00,126.994452,37.4833668,2024,199509.3068,542658.071,서초구
1105,방배1동제1경로당,서울특별시 서초구 서초대로 114-8,서울특별시 서초구 방배동 143,노인시설,30,2023-11-15,09:00:00,18:00:00,126.9947018,37.4875533,2024,199531.4266,543122.7158,서초구
1106,방배2동 주민센터,서울특별시 서초구 청두곶길 36,서울특별시 서초구 방배동 462-13,주민센터,30,2023-11-15,09:00:00,18:00:00,126.9855471,37.4797547,2024,198721.6509,542257.2596,서초구
1107,방배노인종합복지관,서울특별시 서초구 방배천로 48,서울특별시 서초구 방배동 455-12,복지회관,34,2023-11-15,09:00:00,18:00:00,126.9827868,37.4807671,2024,198477.5248,542369.6636,서초구
1108,방배2동 제2경로당,서울특별시 서초구 방배천로16길 5,서울특별시 서초구 방배동 437-8,노인시설,25,2023-11-15,09:00:00,18:00:00,126.9830565,37.4822365,2024,198501.4086,542532.7431,서초구
1109,방배느티나무쉼터,서울특별시 서초구 남부순환로287길 17-4 ,서울특별시 서초구 방배동 478-13,노인시설,8,2023-11-15,09:00:00,18:00:00,126.9874118,37.4765533,2024,198886.5349,541901.9233,서초구
1110,방배3동 주민센터,서울특별시 서초구 방배로 40,서울특별시 서초구 방배동 1023-3,주민센터,30,2023-11-15,09:00:00,18:00:00,127.0000245,37.4784794,2024,200002.167,542115.6202,서초구
1111,방배3동 제2경로당,서울특별시 서초구 남부순환로287길 17-4 ,서울특별시 서초구 방배동 478-13,노인시설,20,2023-11-15,09:00:00,18:00:00,126.9874248,37.4765229,2024,198887.6843,541898.5492,서초구
1112,방배4동 주민센터,서울특별시 서초구 방배로 173,서울특별시 서초구 방배동 852-10,주민센터,20,2023-11-15,09:00:00,18:00:00,126.9923038,37.4890068,2024,199319.3603,543284.0498,서초구
1113,방배4동 경로당,서울특별시 서초구 방배중앙로 121,서울특별시 서초구 방배동 821-1,노인시설,30,2023-11-15,09:00:00,18:00:00,126.9868845,37.4898891,2024,198840.0997,543382.0264,서초구
1114,양재느티나무쉼터,서울특별시 서초구 바우뫼로41길 72-9 ,서울특별시 서초구 양재동 7-32,노인시설,5,2023-11-15,09:00:00,18:00:00,127.040424,37.4838383,2024,203575.2805,542711.1543,서초구
1115,우면주공아파트 경로당,서울특별시 서초구 바우뫼로7길 11,서울특별시 서초구 우면동 63,노인시설,10,2023-11-15,09:00:00,18:00:00,127.0242739,37.4702585,2024,202147.2814,541203.4876,서초구
1116,우면동 경로당,서울특별시 서초구 바우뫼로4길 6,서울특별시 서초구 우면동 6-1,노인시설,20,2023-11-15,09:00:00,18:00:00,127.025519,37.4694298,2024,202257.4485,541111.5422,서초구
1117,양재1동 주민센터,서울특별시 서초구 바우뫼로 41,서울특별시 서초구 우면동 68-2,주민센터,30,2023-11-15,09:00:00,18:00:00,127.0266706,37.471655,2024,202359.2509,541358.5376,서초구
1118,양재노인종합복지관,서울특별시 서초구 강남대로30길 73-7,서울특별시 서초구 양재동 7-44,복지회관,25,2023-11-15,09:00:00,18:00:00,127.0408252,37.4830142,2024,203610.8041,542619.7054,서초구
1119,암산경로당,서울특별시 서초구 바우뫼로7길 84,서울특별시 서초구 우면동 55,노인시설,20,2023-11-15,09:00:00,18:00:00,127.0244305,37.4735202,2024,202161.0405,541565.4959,서초구
1120,말죽거리 경로당,서울특별시 서초구 바우뫼로41길 72-9,서울특별시 서초구 양재동 7-32,노인시설,30,2023-11-15,09:00:00,18:00:00,127.0405107,37.483839,2024,203582.9486,542711.2353,서초구
